"Pics","PicCount","MLS#","County/Incorporated City","Status","Class","PropType","Address","City","Acres #","DOM","List Ofc 1 - OfcCode","List Date","List Price","Closed Date","# Baths","# Beds","Total SQ. FT."
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634609/0/120/90/b829d8737601b92f8d736748d6bec3d1/3/ee833e68d0a5c40fdf4dba9224ee3d23/634609.JPG","23","634609","005","SLD","RE","DETCH","1508 TRAILRIDGE RD","CHARLOTTESVILLE","0.25","28","K10797","9/12/2022","$455,000","11/10/2022","3.00","4","2,500"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633292/0/120/90/14560bc7730c666a81b7f27a705e85c7/3/6dfbf8fb692ab0838eeb56904d3f845d/633292.JPG","32","633292","001","SLD","RE","DETCH","1780 TINKERS COVE RD","CHARLOTTESVILLE","0.26","8","K1142","8/1/2022","$425,000","9/21/2022","3.00","4","2,272"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634756/0/120/90/e7fd48ac41cce43484f805a68c63af71/3/816ee2912ad545ebf4c16145d151c379/634756.JPG","24","634756","001","SLD","RE","DETCH","1160 MAPLE VIEW DR","CHARLOTTESVILLE","0.42","21","K135","9/15/2022","$450,000","11/11/2022","2.00","3","1,699"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634847/0/120/90/bbf7e0b2b2aef7a9b64ff96a22bc83b6/3/c16fc27b80da0096fede39f880a819de/634847.JPG","29","634847","005","SLD","RE","DETCH","103 VILLAGE CT","CHARLOTTESVILLE","0.21","3","K1142","9/16/2022","$429,000","10/26/2022","2.00","3","1,754"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634244/0/120/90/763ab9b57fb68bdf06659fb6d3eea005/3/7dd930badcb7b0b172c5ef0cacdf9a65/634244.JPG","24","634244","005","SLD","RE","DETCH","934 HENRY AVE","CHARLOTTESVILLE","0.10","1","K1249","9/1/2022","$429,000","10/4/2022","2.50","3","2,029"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634570/0/120/90/58df383a316fdd6f5fa17cab2c5cafcc/3/093702242f63470bf8e1d443993a18e1/634570.JPG","54","634570","001","SLD","RE","DETCH","1771 OLD BROOK RD","CHARLOTTESVILLE","0.38","4","K1083","9/9/2022","$375,000","10/13/2022","2.50","4","3,011"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/631727/0/120/90/9bb7054a46a894424bd6899552da2d5e/3/4a74ed581bd90603def7c3f4f4828df6/631727.JPG","41","631727","001","SLD","RE","DETCH","3014 PROFFIT RD","CHARLOTTESVILLE","0.46","69","K1083","6/17/2022","$439,000","9/27/2022","3.00","3","2,784"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/628257/0/120/90/98bcde938fe3e7486b51d5f6e267c571/5/eafc94aabe46bfc7323643e42d7f5641/628257.JPG","69","628257","001","SLD","RE","DETCH","2271 OLD LYNCHBURG RD","CHARLOTTESVILLE","2.04","167","78782101","3/28/2022","$449,000","11/7/2022","1.50","3","1,808"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/635017/0/120/90/934bc418b9567a2da5cde2f384fb2557/3/23ee9ff5d578e510b400f43c9989c9d2/635017.JPG","45","635017","001","SLD","RE","DETCH","2315 WAKEFIELD RD","CHARLOTTESVILLE","0.32","7","K1083","9/22/2022","$439,000","11/10/2022","3.00","3","3,480"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633729/0/120/90/53ad184b188aa072cb884727fed86dc9/3/4ac86c2fddbfa680eaef061f0a271946/633729.JPG","41","633729","001","SLD","RE","DETCH","2698 POWELL CREEK DR","CHARLOTTESVILLE","0.21","42","K54","8/15/2022","$449,000","10/27/2022","3.00","3","3,042"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632462/0/120/90/65fa8dc91d6061bb3aa4befd38124b11/3/2b05d956ac9087bc6f1e44946c9f0644/632462.JPG","44","632462","005","SLD","RE","DETCH","115 LANKFORD AVE","CHARLOTTESVILLE","0.10","49","K454","7/7/2022","$449,900","10/17/2022","2.50","3","2,793"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633864/0/120/90/5ed187d2927537c650f0cd1c46b66b39/3/4aeb55311f3469a43f8299a2b9d9f818/633864.JPG","42","633864","001","SLD","RE","DETCH","1145 HEARTHGLOW CT","CHARLOTTESVILLE","0.26","3","K1142","8/18/2022","$399,000","9/28/2022","3.00","4","3,212"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633832/0/120/90/6a528217d5e93630400ecb80fd3604cb/3/6c6f97e130ee19e93da1138883b9e832/633832.JPG","40","633832","005","SLD","RE","DETCH","1415 BRIARCLIFF AVE","CHARLOTTESVILLE","0.25","2","K1142","8/18/2022","$449,000","10/3/2022","2.00","3","1,998"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632962/0/120/90/462ff5001d76be64b65131cc600090ce/3/404ff8f01072bba9819cd30240567db0/632962.JPG","22","632962","001","SLD","RE","DETCH","1436 GRAY STONE CT","CHARLOTTESVILLE","0.37","4","K1083","7/21/2022","$449,000","9/9/2022","3.00","4","2,088"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/635258/0/120/90/45e29f14f73fbbdb5ee7fb3325e9155a/3/6d436d11065c2cba675600ab3a3bb632/635258.JPG","32","635258","001","SLD","RE","DETCH","348 BAYBERRY WAY","CHARLOTTESVILLE","0.18","5","K1306","9/30/2022","$450,000","11/16/2022","2.00","3","2,192"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632796/0/120/90/eae6377b1ef7875a880f5b41c91bc188/3/d452724fcc090933a18fdff3b09f0bbf/632796.JPG","38","632796","001","SLD","RE","DETCH","1253 COURTYARD DR","CHARLOTTESVILLE","0.15","2","K67","7/16/2022","$450,000","9/8/2022","2.50","3","2,376"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634455/0/120/90/150cdef09713b829e146a2a846f78a4b/3/6bd5b2e6262f7818469d472354a382b9/634455.JPG","36","634455","001","SLD","RE","DETCH","1760 HEARTHGLOW LN","CHARLOTTESVILLE","0.28","13","K1083","9/6/2022","$449,000","10/12/2022","2.00","3","2,489"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/635219/0/120/90/7788ce449697aabebf5bedd16f0d04d7/3/2215eda2bf1a06766e55001da742ac3f/635219.JPG","36","635219","001","SLD","RE","DETCH","639 BIG OAK RD","CHARLOTTESVILLE","0.60","5","K67","9/29/2022","$439,000","11/7/2022","2.00","3","1,968"
